 Wed, 24 Jan 2018 11:43:12   4.024600 7.203200  
 Wed, 24 Jan 2018 11:43:14   4.023800 7.203300  
 Wed, 24 Jan 2018 11:43:15   4.024300 7.203100  
 Wed, 24 Jan 2018 11:43:17   4.024500 7.203100  
 Wed, 24 Jan 2018 11:43:19   4.023700 7.203000  
 Wed, 24 Jan 2018 11:43:21   4.023600 7.203100  
 Wed, 24 Jan 2018 11:43:23   4.024300 7.203000  
 Wed, 24 Jan 2018 11:43:24   4.023700 7.202900  
 Wed, 24 Jan 2018 11:43:26   4.022800 7.202700  
 Wed, 24 Jan 2018 11:43:28   4.023100 7.202900  
 Wed, 24 Jan 2018 11:43:30   4.023600 7.202700  
 Wed, 24 Jan 2018 11:43:32   4.022900 7.202600  
 Wed, 24 Jan 2018 11:43:33   4.022300 7.202700  
 Wed, 24 Jan 2018 11:43:35   4.023000 7.202700  
 Wed, 24 Jan 2018 11:43:37   4.023300 7.202600  
 Wed, 24 Jan 2018 11:43:39   4.022500 7.202700  
 Wed, 24 Jan 2018 11:43:41   4.022600 7.202800  
 Wed, 24 Jan 2018 11:43:42   4.023400 7.202600  
 Wed, 24 Jan 2018 11:43:44   4.022900 7.202400  
 Wed, 24 Jan 2018 11:43:46   4.022000 7.202500  
 Wed, 24 Jan 2018 11:43:48   4.022300 7.202400  
 Wed, 24 Jan 2018 11:43:50   4.023000 7.202500  
 Wed, 24 Jan 2018 11:43:51   4.022500 7.201900  
 Wed, 24 Jan 2018 11:43:53   4.022400 7.202600  
 Wed, 24 Jan 2018 11:43:55   4.023800 7.202600  
 Wed, 24 Jan 2018 11:43:57   4.024000 7.202700  
 Wed, 24 Jan 2018 11:43:59   4.023100 7.202800  
 Wed, 24 Jan 2018 11:44:00   4.022800 7.202700  
 Wed, 24 Jan 2018 11:44:02   4.023300 7.202700  
 Wed, 24 Jan 2018 11:44:04   4.022600 7.202600  
 Wed, 24 Jan 2018 11:44:06   4.021600 7.202500  
 Wed, 24 Jan 2018 11:44:08   4.021800 7.202500  
 Wed, 24 Jan 2018 11:44:09   4.022300 7.202300  
 Wed, 24 Jan 2018 11:44:11   4.021500 7.202300  
 Wed, 24 Jan 2018 11:44:13   4.021100 7.202400  
 Wed, 24 Jan 2018 11:44:15   4.022100 7.202300  
 Wed, 24 Jan 2018 11:44:17   4.022300 7.202300  
 Wed, 24 Jan 2018 11:44:18   4.022000 7.202600  
 Wed, 24 Jan 2018 11:44:20   4.022900 7.202700  
 Wed, 24 Jan 2018 11:44:22   4.023900 7.202800  
 Wed, 24 Jan 2018 11:44:24   4.024000 7.202900  
 Wed, 24 Jan 2018 11:44:26   4.023300 7.203000  
 Wed, 24 Jan 2018 11:44:27   4.024000 7.203100  
 Wed, 24 Jan 2018 11:44:29   4.024800 7.203100  
 Wed, 24 Jan 2018 11:44:31   4.024000 7.203100  
 Wed, 24 Jan 2018 11:44:33   4.023900 7.203300  
 Wed, 24 Jan 2018 11:44:35   4.024900 7.203200  
 Wed, 24 Jan 2018 11:44:36   4.024900 7.203200  
 Wed, 24 Jan 2018 11:44:38   4.024100 7.203300  
 Wed, 24 Jan 2018 11:44:40   4.024700 7.203200  
 Wed, 24 Jan 2018 11:44:42   4.025100 7.203200  
 Wed, 24 Jan 2018 11:44:44   4.024300 7.203200  
 Wed, 24 Jan 2018 11:44:46   4.024000 7.203400  
 Wed, 24 Jan 2018 11:44:47   4.024700 7.203300  
 Wed, 24 Jan 2018 11:44:49   4.024200 7.203100  
 Wed, 24 Jan 2018 11:44:51   4.023300 7.203200  
 Wed, 24 Jan 2018 11:44:53   4.023400 7.202600  
 Wed, 24 Jan 2018 11:44:55   4.023200 7.202900  
 Wed, 24 Jan 2018 11:44:56   4.022100 7.202800  
 Wed, 24 Jan 2018 11:44:58   4.021200 7.202700  
 Wed, 24 Jan 2018 11:45:00   4.021900 7.202400  
 Wed, 24 Jan 2018 11:45:02   4.022100 7.202500  
 Wed, 24 Jan 2018 11:45:04   4.022300 7.202300  
 Wed, 24 Jan 2018 11:45:05   4.021900 7.202600  
 Wed, 24 Jan 2018 11:45:07   4.022200 7.202700  
 Wed, 24 Jan 2018 11:45:09   4.022900 7.202500  
 Wed, 24 Jan 2018 11:45:11   4.022200 7.202400  
 Wed, 24 Jan 2018 11:45:13   4.021100 7.202500  
 Wed, 24 Jan 2018 11:45:14   4.021900 7.202500  
 Wed, 24 Jan 2018 11:45:16   4.022400 7.202300  
 Wed, 24 Jan 2018 11:45:18   4.021500 7.202500  
 Wed, 24 Jan 2018 11:45:20   4.021400 7.202500  
 Wed, 24 Jan 2018 11:45:22   4.022500 7.202500  
 Wed, 24 Jan 2018 11:45:23   4.022100 7.202400  
 Wed, 24 Jan 2018 11:45:25   4.021500 7.202400  
 Wed, 24 Jan 2018 11:45:27   4.022200 7.202600  
 Wed, 24 Jan 2018 11:45:29   4.023200 7.202600  
 Wed, 24 Jan 2018 11:45:31   4.023000 7.202700  
 Wed, 24 Jan 2018 11:45:32   4.022600 7.202900  
 Wed, 24 Jan 2018 11:45:34   4.023800 7.203000  
 Wed, 24 Jan 2018 11:45:36   4.024200 7.203000  
 Wed, 24 Jan 2018 11:45:38   4.023500 7.203100  
 Wed, 24 Jan 2018 11:45:40   4.023400 7.203400  
 Wed, 24 Jan 2018 11:45:41   4.024100 7.203100  
 Wed, 24 Jan 2018 11:45:43   4.023700 7.203100  
 Wed, 24 Jan 2018 11:45:45   4.022900 7.203100  
 Wed, 24 Jan 2018 11:45:47   4.023400 7.203100  
 Wed, 24 Jan 2018 11:45:49   4.024100 7.203000  
 Wed, 24 Jan 2018 11:45:50   4.023700 7.203100  
 Wed, 24 Jan 2018 11:45:52   4.023400 7.203200  
 Wed, 24 Jan 2018 11:45:54   4.024300 7.203200  
 Wed, 24 Jan 2018 11:45:56   4.024700 7.203100  
 Wed, 24 Jan 2018 11:45:58   4.024000 7.203300  
 Wed, 24 Jan 2018 11:45:59   4.024400 7.203400  
 Wed, 24 Jan 2018 11:46:01   4.025400 7.203400  
 Wed, 24 Jan 2018 11:46:03   4.025300 7.203500  
 Wed, 24 Jan 2018 11:46:05   4.024800 7.203600  
 Wed, 24 Jan 2018 11:46:07   4.025700 7.203700  
 Wed, 24 Jan 2018 11:46:08   4.026500 7.203700  
 Wed, 24 Jan 2018 11:46:10   4.026000 7.203800  
 Wed, 24 Jan 2018 11:46:12   4.025600 7.203900  
 Wed, 24 Jan 2018 11:46:14   4.026200 7.203900  
 Wed, 24 Jan 2018 11:46:16   4.025800 7.203700  
 Wed, 24 Jan 2018 11:46:17   4.024600 7.203700  
 Wed, 24 Jan 2018 11:46:19   4.024600 7.203600  
 Wed, 24 Jan 2018 11:46:21   4.025200 7.203500  
 Wed, 24 Jan 2018 11:46:23   4.024800 7.203400  
 Wed, 24 Jan 2018 11:46:25   4.024100 7.203300  
 Wed, 24 Jan 2018 11:46:26   4.025100 7.203500  
 Wed, 24 Jan 2018 11:46:28   4.025700 7.203600  
 Wed, 24 Jan 2018 11:46:30   4.025000 7.203700  
 Wed, 24 Jan 2018 11:46:32   4.024800 7.203700  
 Wed, 24 Jan 2018 11:46:34   4.025800 7.203700  
 Wed, 24 Jan 2018 11:46:35   4.026300 7.203700  
 Wed, 24 Jan 2018 11:46:37   4.026300 7.204000  
 Wed, 24 Jan 2018 11:46:39   4.026100 7.204100  
 Wed, 24 Jan 2018 11:46:41   4.027400 7.204200  
 Wed, 24 Jan 2018 11:46:43   4.028400 7.204200  
 Wed, 24 Jan 2018 11:46:44   4.027900 7.204500  
 Wed, 24 Jan 2018 11:46:46   4.028000 7.204700  
 Wed, 24 Jan 2018 11:46:48   4.029300 7.204800  
 Wed, 24 Jan 2018 11:46:50   4.029100 7.205000  
 Wed, 24 Jan 2018 11:46:52   4.028800 7.205000  
 Wed, 24 Jan 2018 11:46:53   4.030000 7.205200  
 Wed, 24 Jan 2018 11:46:55   4.030700 7.205300  
 Wed, 24 Jan 2018 11:46:57   4.030300 7.205500  
 Wed, 24 Jan 2018 11:46:59   4.030600 7.205600  
 Wed, 24 Jan 2018 11:47:01   4.031800 7.205600  
 Wed, 24 Jan 2018 11:47:02   4.032000 7.205800  
 Wed, 24 Jan 2018 11:47:04   4.031700 7.206000  
 Wed, 24 Jan 2018 11:47:06   4.032800 7.206200  
 Wed, 24 Jan 2018 11:47:08   4.034200 7.206500  
 Wed, 24 Jan 2018 11:47:10   4.034000 7.206500  
 Wed, 24 Jan 2018 11:47:11   4.033900 7.206900  
 Wed, 24 Jan 2018 11:47:13   4.035400 7.207000  
 Wed, 24 Jan 2018 11:47:15   4.036400 7.207100  
 Wed, 24 Jan 2018 11:47:17   4.036600 7.207500  
 Wed, 24 Jan 2018 11:47:19   4.037100 7.207900  
 Wed, 24 Jan 2018 11:47:20   4.037900 7.207800  
 Wed, 24 Jan 2018 11:47:22   4.037800 7.208000  
 Wed, 24 Jan 2018 11:47:24   4.037300 7.208200  
 Wed, 24 Jan 2018 11:47:26   4.038100 7.208200  
 Wed, 24 Jan 2018 11:47:28   4.038800 7.208200  
 Wed, 24 Jan 2018 11:47:29   4.038400 7.208400  
 Wed, 24 Jan 2018 11:47:31   4.038200 7.208500  
 Wed, 24 Jan 2018 11:47:33   4.039100 7.208500  
 Wed, 24 Jan 2018 11:47:35   4.038800 7.208500  
 Wed, 24 Jan 2018 11:47:37   4.038000 7.208400  
