 Wed, 24 Jan 2018 11:44:07   5.640400 5.411800  4.839600 5.168700  3.727100 5.215000  5.172800 5.225900  7.642900 4.762000  
 Wed, 24 Jan 2018 11:44:12   5.644000 5.420800  4.839500 5.168600  3.727000 5.215100  5.172900 5.225900  7.642800 4.761900  
 Wed, 24 Jan 2018 11:44:17   5.637900 5.410200  4.839500 5.168500  3.726800 5.214800  5.173000 5.226100  7.642300 4.762300  
 Wed, 24 Jan 2018 11:44:22   5.628100 5.389000  4.840200 5.168400  3.726700 5.214700  5.173100 5.226100  7.642300 4.762100  
 Wed, 24 Jan 2018 11:44:27   5.646800 5.378200  4.839500 5.168400  3.726800 5.214800  5.173200 5.226200  7.642000 4.762000  
 Wed, 24 Jan 2018 11:44:32   5.643100 5.404300  4.839400 5.168600  3.726900 5.215100  5.173300 5.226300  7.641600 4.762300  
 Wed, 24 Jan 2018 11:44:37   5.636400 5.405200  4.839300 5.168800  3.727200 5.215100  5.173500 5.226300  7.641500 4.762400  
 Wed, 24 Jan 2018 11:44:42   5.643500 5.427100  4.839500 5.169100  3.727500 5.215400  5.173600 5.226400  7.641200 4.762200  
 Wed, 24 Jan 2018 11:44:47   5.638400 5.396100  4.839300 5.169300  3.727700 5.215500  5.173700 5.226400  7.641000 4.762400  
 Wed, 24 Jan 2018 11:44:52   5.646900 5.398400  4.839500 5.169400  3.727800 5.215700  5.173800 5.226500  7.640700 4.762300  
 Wed, 24 Jan 2018 11:44:57   5.643100 5.384200  4.839300 5.169500  3.727900 5.215600  5.173900 5.226400  7.640400 4.762400  
 Wed, 24 Jan 2018 11:45:02   5.639300 5.426100  4.839300 5.169300  3.727800 5.215500  5.174000 5.226700  7.640100 4.762500  
 Wed, 24 Jan 2018 11:45:07   5.636000 5.416600  4.839200 5.169000  3.727500 5.215200  5.174100 5.226700  7.639900 4.762700  
 Wed, 24 Jan 2018 11:45:12   5.639700 5.420000  4.839300 5.168800  3.727300 5.215200  5.174200 5.226800  7.639700 4.762500  
 Wed, 24 Jan 2018 11:45:17   5.650100 5.391000  4.839300 5.168700  3.727200 5.214900  5.174300 5.226900  7.639500 4.762600  
 Wed, 24 Jan 2018 11:45:22   5.645400 5.419900  4.839300 5.168500  3.727000 5.214800  5.174400 5.227100  7.639100 4.762300  
 Wed, 24 Jan 2018 11:45:27   5.634600 5.402400  4.839100 5.168400  3.726900 5.214700  5.174500 5.227000  7.638800 4.762500  
 Wed, 24 Jan 2018 11:45:32   5.637000 5.400400  4.839300 5.168300  3.726800 5.214700  5.174600 5.227000  7.638600 4.762800  
